"Aeropuerto","Mes","Año","Cantidad Nacionales","Cantidad Extrajeros","Cantidad En Tránsito","Cantidad Exentos","Total Pasajeros"
"Aeropuerto Internacional Juan Santamaría","Setiembre","2021","45027","72761","","","117788"
"Aeropuerto Internacional Juan Santamaría","Agosto","2021","33662","107148","","","140810"
"Aeropuerto Internacional Juan Santamaría","Julio","2021","44307","101336","","","145643"
"Aeropuerto Internacional Juan Santamaría","Junio","2021","46303","80749","","","127052"
"Aeropuerto Internacional Juan Santamaría","Mayo","2021","41496","72615","","","114111"
"Aeropuerto Internacional Juan Santamaría","Abril","2021","23854","71327","","","95181"
"Aeropuerto Internacional Juan Santamaría","Marzo","2021","25075","61096","36","","86207"
"Aeropuerto Internacional Juan Santamaría","Febrero","2021","13911","44077","3","","57991"
"Aeropuerto Internacional Juan Santamaría","Enero","2021","25800","57473","31","","83304"
"Aeropuerto Internacional Juan Santamaría","Diciembre","2020","28245","38385","50","","66680"
"Aeropuerto Internacional Juan Santamaría","Noviembre","2020","15003","24419","53","","39475"
"Aeropuerto Internacional Juan Santamaría","Octubre","2020","6171","8368","1","","14540"
"Aeropuerto Internacional Juan Santamaría","Setiembre","2020","4639","3593","2","","8234"
"Aeropuerto Internacional Juan Santamaría","Agosto","2020","1967","4074","30","","6071"
"Aeropuerto Internacional Juan Santamaría","Julio","2020","916","4066","23","","5005"
"Aeropuerto Internacional Juan Santamaría","Junio","2020","434","2718","","","3152"
"Aeropuerto Internacional Juan Santamaría","Mayo","2020","320","1980","","19","2319"
"Aeropuerto Internacional Juan Santamaría","Abril","2020","131","2174","","39","2344"
"Aeropuerto Internacional Juan Santamaría","Marzo","2020","21861","143354","173","","165388"
"Aeropuerto Internacional Juan Santamaría","Febrero","2020","54200","183777","383","","238360"
"Aeropuerto Internacional Juan Santamaría","Enero","2020","87217","187990","625","","275832"
"Aeropuerto Internacional Juan Santamaría","Diciembre","2019","98254","153319","1420","","252993"
"Aeropuerto Internacional Juan Santamaría","Noviembre","2019","69338","122130","600","","192068"
"Aeropuerto Internacional Juan Santamaría","Octubre","2019","69836","102038","531","","172405"
"Aeropuerto Internacional Juan Santamaría","Setiembre","2019","72172","101211","456","","173839"
"Aeropuerto Internacional Juan Santamaría","Agosto","2019","57089","156401","370","","213860"
"Aeropuerto Internacional Juan Santamaría","Julio","2019","67462","151372","368","","219202"
"Aeropuerto Internacional Juan Santamaría","Junio","2019","61487","136965","345","","198797"
"Aeropuerto Internacional Juan Santamaría","Mayo","2019","62038","128220","182","","190440"
"Aeropuerto Internacional Juan Santamaría","Abril","2019","74966","157030","199","","232195"
"Aeropuerto Internacional Juan Santamaría","Marzo","2019","50288","206724","213","","257225"
"Aeropuerto Internacional Juan Santamaría","Febrero","2019","50683","170380","114","","221177"
"Aeropuerto Internacional Juan Santamaría","Enero","2019","83142","185336","76","","268554"
